date,state,city,area,tower_id,network_type,day_of_week,is_weekend,month,signal_strength_dbm,latency_ms,throughput_mbps,operator,signal_category,latency_category,throughput_category
2025-08-01,Andhra Pradesh,Guntur,Arundalpet,TWR_1033,5G,Friday,0,August,-79.49034693706331,26.795284353705412,69.48797055470193,Airtel,Excellent,Low (Optimal),High Speed
2025-08-01,Andhra Pradesh,Guntur,Arundalpet,TWR_1033,5G,Friday,0,August,-75.0923765738805,31.020762067931187,75.1030476126735,BSNL,Excellent,Medium,High Speed
2025-08-01,Andhra Pradesh,Guntur,Arundalpet,TWR_1033,5G,Friday,0,August,-74.58549195268961,28.972064993352607,74.82128746671522,Jio,Excellent,Low (Optimal),High Speed
2025-08-01,Andhra Pradesh,Guntur,Arundalpet,TWR_1033,5G,Friday,0,August,-74.56825325811505,19.32866449402392,60.9785270901299,Vi,Excellent,Low (Optimal),High Speed
2025-08-01,Andhra Pradesh,Guntur,Brodipet,TWR_1031,4G,Friday,0,August,-66.31425618264467,70.33840625625369,82.43268896600482,Airtel,Excellent,High (Poor),High Speed
2025-08-01,Andhra Pradesh,Guntur,Brodipet,TWR_1031,4G,Friday,0,August,-68.71443187710685,53.511719736284135,69.27730210661981,BSNL,Excellent,Medium,High Speed
2025-08-01,Andhra Pradesh,Guntur,Brodipet,TWR_1031,4G,Friday,0,August,-70.38338574569956,60.60365958041669,79.08157303959378,Jio,Excellent,High (Poor),High Speed
2025-08-01,Andhra Pradesh,Guntur,Brodipet,TWR_1031,4G,Friday,0,August,-64.31562771045748,67.03969123031005,57.804960789276315,Vi,Excellent,High (Poor),High Speed
2025-08-01,Andhra Pradesh,Guntur,Brodipet,TWR_1032,4G,Friday,0,August,-90.8491354924187,63.75094963980195,16.91415379380877,Airtel,Fair,High (Poor),Low Speed
2025-08-01,Andhra Pradesh,Guntur,Brodipet,TWR_1032,4G,Friday,0,August,-90.78848761712052,63.69249726928241,17.206768544800763,BSNL,Fair,High (Poor),Low Speed
2025-08-01,Andhra Pradesh,Guntur,Brodipet,TWR_1032,4G,Friday,0,August,-83.84747968496288,76.25250568515342,14.992229266687154,Jio,Good,High (Poor),Low Speed
2025-08-01,Andhra Pradesh,Guntur,Brodipet,TWR_1032,4G,Friday,0,August,-90.61212113363486,63.42783586698409,16.17166488640337,Vi,Fair,High (Poor),Low Speed
2025-08-01,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1016,4G,Friday,0,August,-64.75107313515522,45.0965548588557,7.89966374861115,Airtel,Excellent,Medium,Low Speed
2025-08-01,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1016,4G,Friday,0,August,-69.6482655227897,44.29298930326722,7.0182321771684775,BSNL,Excellent,Medium,Low Speed
2025-08-01,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1016,4G,Friday,0,August,-68.477003091131,54.1502848898564,6.847202631373062,Jio,Excellent,Medium,Low Speed
2025-08-01,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1016,4G,Friday,0,August,-68.30575448243874,48.39105646661566,7.774435257829749,Vi,Excellent,Medium,Low Speed
2025-08-01,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1017,4G,Friday,0,August,-94.6810915167978,29.132675653991473,23.187314390236708,Airtel,Fair,Low (Optimal),Moderate
2025-08-01,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1017,4G,Friday,0,August,-86.74640870129835,33.93561947745397,24.371735243632248,BSNL,Good,Medium,Moderate
2025-08-01,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1017,4G,Friday,0,August,-86.1160431165305,26.271038479122126,19.579929888290444,Jio,Good,Low (Optimal),Low Speed
2025-08-01,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1017,4G,Friday,0,August,-86.6476518809733,40.39674548425715,24.13475538769579,Vi,Good,Medium,Moderate
2025-08-01,Andhra Pradesh,Vijayawada,Patamata,TWR_1018,4G,Friday,0,August,-75.97841463915077,60.1716259831921,31.704278904775666,Airtel,Excellent,High (Poor),Moderate
2025-08-01,Andhra Pradesh,Vijayawada,Patamata,TWR_1018,4G,Friday,0,August,-81.70785403478972,53.460977168858065,33.77358436000389,BSNL,Good,Medium,Moderate
2025-08-01,Andhra Pradesh,Vijayawada,Patamata,TWR_1018,4G,Friday,0,August,-83.48960072838095,50.86911135196367,27.97838919565855,Jio,Good,Medium,Moderate
2025-08-01,Andhra Pradesh,Vijayawada,Patamata,TWR_1018,4G,Friday,0,August,-84.22653363907502,49.090812771263856,25.688917438539125,Vi,Good,Medium,Moderate
2025-08-01,Andhra Pradesh,Visakhapatnam,Gajuwaka,TWR_1001,5G,Friday,0,August,-93.1343831911859,55.661382941286405,10.185755222383051,Airtel,Fair,Medium,Low Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Gajuwaka,TWR_1001,5G,Friday,0,August,-86.23492808404274,50.934186231067606,14.393123538774269,BSNL,Good,Medium,Low Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Gajuwaka,TWR_1001,5G,Friday,0,August,-91.0348987256227,51.70770272603817,10.112986979982388,Jio,Fair,Medium,Low Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Gajuwaka,TWR_1001,5G,Friday,0,August,-88.93945051775908,39.60528030068502,14.025994474908007,Vi,Good,Medium,Low Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Gajuwaka,TWR_1002,4G,Friday,0,August,-93.39899539475326,43.91623830532065,65.18756583799339,Airtel,Fair,Medium,High Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Gajuwaka,TWR_1002,4G,Friday,0,August,-95.18385787629786,49.15079346499592,65.81616434650007,BSNL,Fair,Medium,High Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Gajuwaka,TWR_1002,4G,Friday,0,August,-96.70024578949204,35.314519879535574,78.79621020915113,Jio,Fair,Medium,High Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Gajuwaka,TWR_1002,4G,Friday,0,August,-98.11650393035089,47.42071411917644,59.27787769372763,Vi,Fair,Medium,High Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Madhurawada,TWR_1003,4G,Friday,0,August,-76.79296244665866,39.67041227453895,9.698384750232828,Airtel,Excellent,Medium,Low Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Madhurawada,TWR_1003,4G,Friday,0,August,-68.19819332593985,44.84367982825063,9.38544910849214,BSNL,Excellent,Medium,Low Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Madhurawada,TWR_1003,4G,Friday,0,August,-73.61059197003459,39.99427002346013,7.894400418804706,Jio,Excellent,Medium,Low Speed
2025-08-01,Andhra Pradesh,Visakhapatnam,Madhurawada,TWR_1003,4G,Friday,0,August,-75.40512954964437,44.92782254034062,7.749431838117398,Vi,Excellent,Medium,Low Speed
2025-08-01,Karnataka,Bengaluru,Indiranagar,TWR_1091,4G,Friday,0,August,-92.94488669580666,17.17828806117648,8.7138880199651,Airtel,Fair,Low (Optimal),Low Speed
2025-08-01,Karnataka,Bengaluru,Indiranagar,TWR_1091,4G,Friday,0,August,-101.18634024955789,26.278597879509405,8.168995399479053,BSNL,Poor,Low (Optimal),Low Speed
2025-08-01,Karnataka,Bengaluru,Indiranagar,TWR_1091,4G,Friday,0,August,-91.37833178966102,20.207896900646382,9.580640530433154,Jio,Fair,Low (Optimal),Low Speed
2025-08-01,Karnataka,Bengaluru,Indiranagar,TWR_1091,4G,Friday,0,August,-91.3193637654966,24.2794491607171,8.445216017761563,Vi,Fair,Low (Optimal),Low Speed
2025-08-01,Karnataka,Bengaluru,Jayanagar,TWR_1092,4G,Friday,0,August,-82.61316666261699,36.901079390573024,35.8816672421748,Airtel,Good,Medium,Moderate
2025-08-01,Karnataka,Bengaluru,Jayanagar,TWR_1092,4G,Friday,0,August,-83.06944455025514,26.253656092741405,46.69587291252953,BSNL,Good,Low (Optimal),Moderate
2025-08-01,Karnataka,Bengaluru,Jayanagar,TWR_1092,4G,Friday,0,August,-76.52371815784758,28.138468444565092,38.4323909746602,Jio,Excellent,Low (Optimal),Moderate
2025-08-01,Karnataka,Bengaluru,Jayanagar,TWR_1092,4G,Friday,0,August,-83.47118497078871,33.74116593896991,32.855572675846986,Vi,Good,Medium,Moderate
2025-08-01,Karnataka,Hubballi,Keshwapur,TWR_1122,4G,Friday,0,August,-70.98279726101548,46.480597867038895,41.54570803958809,Airtel,Excellent,Medium,Moderate
2025-08-01,Karnataka,Hubballi,Keshwapur,TWR_1122,4G,Friday,0,August,-73.52873420342101,37.44154394160607,30.373035095332895,BSNL,Excellent,Medium,Moderate
2025-08-01,Karnataka,Hubballi,Keshwapur,TWR_1122,4G,Friday,0,August,-70.92123151496104,51.44150856039205,43.92895009300069,Jio,Excellent,Medium,Moderate
2025-08-01,Karnataka,Hubballi,Keshwapur,TWR_1122,4G,Friday,0,August,-76.65096091670269,44.653902045692284,34.737141143511096,Vi,Excellent,Medium,Moderate
2025-08-01,Karnataka,Hubballi,Vidyanagar,TWR_1121,4G,Friday,0,August,-70.91691397370015,59.900942118192596,76.12409896995455,Airtel,Excellent,Medium,High Speed
2025-08-01,Karnataka,Hubballi,Vidyanagar,TWR_1121,4G,Friday,0,August,-69.83920809925746,45.77545265478517,56.44373760410652,BSNL,Excellent,Medium,High Speed
2025-08-01,Karnataka,Hubballi,Vidyanagar,TWR_1121,4G,Friday,0,August,-67.78708536991236,54.70797031129671,60.52023369743872,Jio,Excellent,Medium,High Speed
2025-08-01,Karnataka,Hubballi,Vidyanagar,TWR_1121,4G,Friday,0,August,-70.07613954885657,61.29092405030805,56.69388998205056,Vi,Excellent,High (Poor),High Speed
2025-08-01,Karnataka,Mysuru,Gokulam,TWR_1106,4G,Friday,0,August,-79.10523559105557,29.226697291221047,56.07005299684175,Airtel,Excellent,Low (Optimal),High Speed
2025-08-01,Karnataka,Mysuru,Gokulam,TWR_1106,4G,Friday,0,August,-83.71656762444907,35.69148831435549,54.158102034391725,BSNL,Good,Medium,High Speed
2025-08-01,Karnataka,Mysuru,Gokulam,TWR_1106,4G,Friday,0,August,-82.52936531888436,24.57631625111528,51.310617986179096,Jio,Good,Low (Optimal),High Speed
2025-08-01,Karnataka,Mysuru,Gokulam,TWR_1106,4G,Friday,0,August,-77.58275164588838,30.801826230048583,56.02431952388191,Vi,Excellent,Medium,High Speed
2025-08-01,Karnataka,Mysuru,Kuvempunagar,TWR_1107,4G,Friday,0,August,-77.16458640071158,73.09643746954792,62.7642851828143,Airtel,Excellent,High (Poor),High Speed
2025-08-01,Karnataka,Mysuru,Kuvempunagar,TWR_1107,4G,Friday,0,August,-75.4625629465866,77.7303117166436,72.05471494808751,BSNL,Excellent,High (Poor),High Speed
2025-08-01,Karnataka,Mysuru,Kuvempunagar,TWR_1107,4G,Friday,0,August,-75.98040758881521,74.33316866779798,76.40090649879572,Jio,Excellent,High (Poor),High Speed
2025-08-01,Karnataka,Mysuru,Kuvempunagar,TWR_1107,4G,Friday,0,August,-72.48915768628034,71.10178924929514,69.02221270625604,Vi,Excellent,High (Poor),High Speed
2025-08-01,Maharashtra,Mumbai,Andheri,TWR_1181,4G,Friday,0,August,-73.43065574681849,31.76709127297945,77.18568845969078,Airtel,Excellent,Medium,High Speed
2025-08-01,Maharashtra,Mumbai,Andheri,TWR_1181,4G,Friday,0,August,-72.8438196846748,23.263373620643847,66.29536377254479,BSNL,Excellent,Low (Optimal),High Speed
2025-08-01,Maharashtra,Mumbai,Andheri,TWR_1181,4G,Friday,0,August,-74.44261730357829,18.80900941754301,85.9543872424137,Jio,Excellent,Low (Optimal),High Speed
2025-08-01,Maharashtra,Mumbai,Andheri,TWR_1181,4G,Friday,0,August,-66.25277869543842,33.552394209407595,84.32925014280099,Vi,Excellent,Medium,High Speed
2025-08-01,Maharashtra,Mumbai,Bandra,TWR_1182,4G,Friday,0,August,-76.37852513443313,42.30873122753356,20.643716280421486,Airtel,Excellent,Medium,Moderate
2025-08-01,Maharashtra,Mumbai,Bandra,TWR_1182,4G,Friday,0,August,-79.10315166197663,38.53519617466699,19.245562733550884,BSNL,Excellent,Medium,Low Speed
2025-08-01,Maharashtra,Mumbai,Bandra,TWR_1182,4G,Friday,0,August,-74.82463516544564,25.888194374620554,24.444783834061038,Jio,Excellent,Low (Optimal),Moderate
2025-08-01,Maharashtra,Mumbai,Bandra,TWR_1182,4G,Friday,0,August,-75.48405679284429,25.36032868901889,19.969578514635856,Vi,Excellent,Low (Optimal),Low Speed
2025-08-01,Maharashtra,Nagpur,Dharampeth,TWR_1211,4G,Friday,0,August,-82.62201948306725,34.18019836549653,20.71232302928428,Airtel,Good,Medium,Moderate
2025-08-01,Maharashtra,Nagpur,Dharampeth,TWR_1211,4G,Friday,0,August,-82.4558686343149,39.16124670677834,19.861253302821744,BSNL,Good,Medium,Low Speed
2025-08-01,Maharashtra,Nagpur,Dharampeth,TWR_1211,4G,Friday,0,August,-79.55430542587831,54.121375022226665,17.218955106294253,Jio,Excellent,Medium,Low Speed
2025-08-01,Maharashtra,Nagpur,Dharampeth,TWR_1211,4G,Friday,0,August,-82.72418804989644,34.38994245395121,18.793646289416714,Vi,Good,Medium,Low Speed
2025-08-01,Maharashtra,Nagpur,Sitabuldi,TWR_1212,4G,Friday,0,August,-90.8810246197149,43.89803432407895,54.254229030803764,Airtel,Fair,Medium,High Speed
2025-08-01,Maharashtra,Nagpur,Sitabuldi,TWR_1212,4G,Friday,0,August,-97.37607963694376,63.18980051758472,49.0651510224793,BSNL,Fair,High (Poor),Moderate
2025-08-01,Maharashtra,Nagpur,Sitabuldi,TWR_1212,4G,Friday,0,August,-94.53448932560639,50.81032696350099,56.13270966171236,Jio,Fair,Medium,High Speed
2025-08-01,Maharashtra,Nagpur,Sitabuldi,TWR_1212,4G,Friday,0,August,-90.99381373106336,60.06198540518819,48.34600278736097,Vi,Fair,High (Poor),Moderate
