Network_type,Operator,State,Signal_strength_dBm,No_of_Issues_Resolved,Plan_Type,Months_Active,Latency_Score,Customer_Churn
5G,Airtel,Uttar Pradesh,-79.44,0,3 Months Plan,20,22.290992688798543,1
5G,Airtel,Gujarat,-81.89,6,3 Months Plan,53,24.718999407232584,0
4G,Airtel,Karnataka,-78.82,6,3 Months Plan,21,23.502687511303428,1
4G,Airtel,Rajasthan,-118.56,3,3 Months Plan,63,95.05515669439856,0
5G,Airtel,Tamil Nadu,-79.04,8,Yearly Plan,53,23.757952409413296,0
5G,Airtel,Maharashtra,-81.23,3,Yearly Plan,2,22.47036584073187,1
4G,Airtel,Uttar Pradesh,-100.67,4,Yearly Plan,67,61.795202543749554,0
4G,Airtel,Delhi,-94.46,0,3 Months Plan,12,51.01687808281981,1
5G,Airtel,West Bengal,-76.0,5,Yearly Plan,10,14.79522371640488,1
5G,Airtel,Gujarat,-78.38,9,Monthly Plan,63,20.82419355699661,0
5G,Airtel,Karnataka,-95.58,12,Yearly Plan,20,51.73254183871132,0
5G,Airtel,Rajasthan,-115.22,3,Monthly Plan,7,88.11356892787144,1
5G,Airtel,Rajasthan,-77.69,3,Monthly Plan,71,19.45216357072188,0
4G,Airtel,Kerala,-89.38,3,3 Months Plan,9,40.52391818132005,1
5G,Airtel,Uttar Pradesh,-86.67,1,Yearly Plan,15,35.21671250582407,1
4G,Airtel,Uttar Pradesh,-94.26,5,Yearly Plan,4,52.51124295546621,1
4G,Airtel,Uttar Pradesh,-100.26,0,Monthly Plan,22,64.35590261055488,1
5G,Airtel,Uttar Pradesh,-88.42,1,Monthly Plan,10,38.203843297726046,1
4G,Airtel,Kerala,-89.09,0,Monthly Plan,8,44.73349457775322,1
5G,Airtel,Karnataka,-94.98,1,Yearly Plan,23,48.675628103762186,1
4G,Airtel,Telangana,-94.24,3,3 Months Plan,18,52.67166951987866,1
5G,Airtel,West Bengal,-76.54,10,Monthly Plan,68,16.421400059926068,0
4G,Airtel,Karnataka,-119.44,4,3 Months Plan,15,95.86768357885704,1
5G,Airtel,Maharashtra,-95.49,3,Yearly Plan,1,53.42026016193409,1
5G,Airtel,Kerala,-71.68,6,Yearly Plan,24,10.647478693312252,0
4G,Airtel,Maharashtra,-85.62,11,Yearly Plan,36,34.77841599385609,0
4G,Airtel,Rajasthan,-120.0,9,Yearly Plan,70,98.81768828218294,0
5G,Airtel,Karnataka,-94.36,0,3 Months Plan,17,49.27065451495255,1
4G,Airtel,West Bengal,-84.02,0,3 Months Plan,5,35.89714812491156,1
