Network_type,Operator,State,Signal_strength_dBm,No_of_Issues_Resolved,Plan_Type,Months_Active,Latency_Score,Customer_Churn
4G,BSNL,Kerala,-111.27,9,3 Months Plan,65,82.08848374115748,0
4G,BSNL,Rajasthan,-87.16,1,3 Months Plan,11,37.137230994455166,1
4G,BSNL,Delhi,-79.44,6,Monthly Plan,54,25.8203999484789,0
4G,BSNL,Tamil Nadu,-102.48,6,3 Months Plan,21,64.11351876083813,0
4G,BSNL,Tamil Nadu,-109.26,0,Monthly Plan,24,76.12545155973555,1
4G,BSNL,Maharashtra,-95.57,0,3 Months Plan,4,54.31850563194702,1
4G,BSNL,West Bengal,-84.14,4,Monthly Plan,23,35.09158986771242,0
4G,BSNL,Maharashtra,-107.42,1,Monthly Plan,24,72.79761437589619,1
4G,BSNL,Telangana,-107.21,3,Monthly Plan,43,74.36014359674617,0
4G,BSNL,Delhi,-102.63,4,Yearly Plan,6,64.26919236793113,1
4G,BSNL,Telangana,-94.68,3,3 Months Plan,2,50.59088485584573,1
4G,BSNL,Kerala,-104.46,11,3 Months Plan,12,70.2985559781893,0
4G,BSNL,Uttar Pradesh,-87.31,11,Monthly Plan,69,41.09491383514649,0
4G,BSNL,Delhi,-89.57,2,Monthly Plan,12,42.77252091759689,1
4G,BSNL,Telangana,-84.14,1,Yearly Plan,13,35.569042675308374,0
4G,BSNL,Tamil Nadu,-98.23,3,Monthly Plan,16,58.761434880012,1
4G,BSNL,Tamil Nadu,-94.16,0,Monthly Plan,15,51.19381772510611,1
4G,BSNL,Maharashtra,-95.66,6,Yearly Plan,15,53.781541576932334,1
4G,BSNL,Maharashtra,-79.3,8,Monthly Plan,18,23.15330170854613,0
4G,BSNL,Maharashtra,-89.24,4,Monthly Plan,3,43.9613829476202,1
4G,BSNL,Telangana,-100.18,2,3 Months Plan,5,61.64817332630581,1
4G,BSNL,Delhi,-87.25,0,Monthly Plan,18,41.47362568479868,1
4G,BSNL,Kerala,-85.4,4,3 Months Plan,4,36.79028826419328,1
4G,BSNL,Maharashtra,-83.13,3,Monthly Plan,15,33.13761781259417,0
4G,BSNL,Tamil Nadu,-86.85,9,Monthly Plan,18,38.10252626973886,0
4G,BSNL,Gujarat,-81.66,3,Yearly Plan,27,30.42071321189263,0
4G,BSNL,Tamil Nadu,-85.68,3,Yearly Plan,48,33.54285736107779,0
4G,BSNL,Rajasthan,-81.08,1,Monthly Plan,28,32.075981791379874,0
4G,BSNL,Delhi,-99.14,2,Monthly Plan,72,59.893580930462086,0
4G,BSNL,Tamil Nadu,-92.26,2,3 Months Plan,13,48.91083133337289,1
4G,BSNL,Kerala,-83.65,2,Yearly Plan,54,33.20826468825275,0
4G,BSNL,Telangana,-84.73,1,3 Months Plan,13,37.38363918695431,1
4G,BSNL,Gujarat,-85.22,4,3 Months Plan,24,38.437464113329234,1
4G,BSNL,Kerala,-120.0,12,Monthly Plan,12,94.94162894041942,0
4G,BSNL,Rajasthan,-106.54,1,Monthly Plan,32,73.81222632768105,0
4G,BSNL,Uttar Pradesh,-100.14,8,Monthly Plan,20,63.40536302258683,0
4G,BSNL,Kerala,-93.99,3,Monthly Plan,8,50.58762739618866,1
4G,BSNL,Telangana,-101.74,1,Monthly Plan,22,65.84569193062882,1
4G,BSNL,Telangana,-87.39,0,Monthly Plan,3,37.27408944588683,1
4G,BSNL,Maharashtra,-81.93,3,Monthly Plan,18,29.54031776888934,0
4G,BSNL,Karnataka,-109.03,2,3 Months Plan,1,78.23316776914314,1
4G,BSNL,Uttar Pradesh,-89.11,1,Yearly Plan,15,44.68930561955926,1
4G,BSNL,Maharashtra,-79.29,3,Yearly Plan,11,24.571351391262287,1
4G,BSNL,Tamil Nadu,-119.46,7,Monthly Plan,47,97.17350041534615,0
4G,BSNL,Telangana,-119.75,3,Yearly Plan,26,97.37635360721916,0
4G,BSNL,Delhi,-98.13,0,3 Months Plan,21,56.17081835069471,1
4G,BSNL,Maharashtra,-112.28,2,Yearly Plan,23,85.41532968549963,1
4G,BSNL,Tamil Nadu,-92.69,8,Yearly Plan,49,50.82554655079509,0
4G,BSNL,Kerala,-80.02,1,Monthly Plan,29,26.90173683791909,0
4G,BSNL,Tamil Nadu,-106.22,2,Monthly Plan,10,74.9406741106018,1
4G,BSNL,Maharashtra,-105.03,11,Yearly Plan,15,71.40859586171204,0
4G,BSNL,Gujarat,-87.5,6,3 Months Plan,24,39.72909915604248,1
4G,BSNL,Kerala,-87.83,5,Monthly Plan,20,41.105743462774,1
4G,BSNL,Telangana,-92.56,0,Yearly Plan,12,49.66995300493437,1
4G,BSNL,Maharashtra,-93.48,1,3 Months Plan,7,49.35212067995269,1
4G,BSNL,Gujarat,-91.15,1,Yearly Plan,2,46.3278851760914,1
4G,BSNL,Karnataka,-81.16,1,3 Months Plan,5,28.71926808242244,1
4G,BSNL,Uttar Pradesh,-84.93,5,3 Months Plan,1,35.71662573315827,1
4G,BSNL,Delhi,-75.96,2,3 Months Plan,12,18.083755627895908,1
4G,BSNL,Telangana,-103.59,7,Yearly Plan,28,67.37554942514548,0
4G,BSNL,Rajasthan,-78.67,0,Yearly Plan,24,25.590074182559203,1
4G,BSNL,Uttar Pradesh,-92.52,1,3 Months Plan,20,49.63004133022531,1
4G,BSNL,Tamil Nadu,-110.74,3,Monthly Plan,21,80.08075196237144,0
4G,BSNL,Kerala,-105.05,5,Yearly Plan,24,73.0668051883136,0
4G,BSNL,Karnataka,-88.49,7,Yearly Plan,17,42.88031208088972,0
4G,BSNL,Karnataka,-89.5,0,Monthly Plan,20,43.846896156658765,1
4G,BSNL,Karnataka,-92.06,14,Yearly Plan,28,47.42898127621835,0
4G,BSNL,Maharashtra,-107.42,0,Monthly Plan,20,72.79293083914551,1
4G,BSNL,Gujarat,-120.0,0,Monthly Plan,8,96.62138961925348,1
4G,BSNL,Tamil Nadu,-88.79,0,3 Months Plan,11,39.28679204806357,1
4G,BSNL,Maharashtra,-90.89,2,Monthly Plan,23,44.91403224981922,0
4G,BSNL,Kerala,-95.51,1,Yearly Plan,17,56.039221074534815,1
