Network_type,Operator,State,Signal_strength_dBm,No_of_Issues_Resolved,Plan_Type,Months_Active,Latency_Score,Customer_Churn
5G,Jio,West Bengal,-76.0,6,3 Months Plan,28,15.276902177991104,0
5G,Jio,Telangana,-83.14,2,Monthly Plan,7,27.57667233027068,1
4G,Jio,Uttar Pradesh,-97.6,9,3 Months Plan,53,57.17572066418249,0
5G,Jio,Rajasthan,-101.4,3,Monthly Plan,53,64.74433916524345,0
4G,Jio,Telangana,-101.61,0,Yearly Plan,23,63.59827534397573,1
4G,Jio,Telangana,-82.93,0,3 Months Plan,20,33.17165295670814,1
5G,Jio,Gujarat,-96.56,7,Monthly Plan,7,54.57937638317579,1
5G,Jio,West Bengal,-85.45,10,3 Months Plan,12,33.479231706327425,0
5G,Jio,Uttar Pradesh,-79.15,3,Monthly Plan,14,22.234795920745164,1
4G,Jio,Telangana,-96.81,3,3 Months Plan,56,54.69887084958891,0
4G,Jio,Uttar Pradesh,-80.42,0,Monthly Plan,20,29.21170868003844,1
5G,Jio,Kerala,-79.47,3,Yearly Plan,17,21.373801069270712,1
4G,Jio,Telangana,-88.22,2,Monthly Plan,30,39.121072459232224,0
5G,Jio,Karnataka,-100.97,4,3 Months Plan,27,59.19372148750944,0
5G,Jio,Tamil Nadu,-83.59,2,Yearly Plan,4,29.1613299564149,1
5G,Jio,Rajasthan,-86.74,8,Monthly Plan,62,34.81054619216608,0
4G,Jio,Tamil Nadu,-108.61,6,Yearly Plan,48,78.37800313086517,0
4G,Jio,Karnataka,-105.94,0,3 Months Plan,12,72.19085840084578,1
4G,Jio,Tamil Nadu,-95.52,4,Monthly Plan,2,54.92821051714321,1
5G,Jio,Maharashtra,-119.35,13,3 Months Plan,72,95.0964556599514,0
5G,Jio,Tamil Nadu,-105.03,6,Yearly Plan,13,67.34488693291188,0
5G,Jio,Kerala,-77.84,11,Monthly Plan,15,19.223761709075177,0
4G,Jio,Karnataka,-99.07,6,3 Months Plan,24,60.65809388212009,1
5G,Jio,Maharashtra,-79.84,2,Yearly Plan,8,23.500526789597107,1
5G,Jio,Uttar Pradesh,-86.43,12,Monthly Plan,59,34.62556927573356,0
5G,Jio,Maharashtra,-115.64,0,Monthly Plan,10,85.413871274274,1
4G,Jio,Tamil Nadu,-106.9,13,3 Months Plan,72,71.0503970310552,0
5G,Jio,Uttar Pradesh,-71.49,12,Yearly Plan,53,7.805368236119683,0
5G,Jio,Rajasthan,-90.46,0,Monthly Plan,1,41.668719557020296,1
5G,Jio,Rajasthan,-76.03,6,Monthly Plan,34,15.977427752048118,0
4G,Jio,Rajasthan,-100.7,5,Yearly Plan,52,62.40313684603682,0
5G,Jio,Rajasthan,-97.05,9,Monthly Plan,17,55.3325298282487,0
4G,Jio,Rajasthan,-81.83,5,Monthly Plan,9,31.555575797473512,1
5G,Jio,Tamil Nadu,-101.91,1,Yearly Plan,10,64.8560418006723,1
5G,Jio,Rajasthan,-75.86,6,3 Months Plan,42,15.43765658686552,0
4G,Jio,Telangana,-80.9,0,Monthly Plan,13,28.251524236701343,1
5G,Jio,Rajasthan,-111.72,4,Yearly Plan,25,80.7469722528983,0
5G,Jio,Gujarat,-104.9,0,3 Months Plan,13,70.49770793001649,1
4G,Jio,Rajasthan,-95.64,2,Monthly Plan,1,55.63180919170866,1
