Network_type,Operator,State,Signal_strength_dBm,No_of_Issues_Resolved,Plan_Type,Months_Active,Latency_Score,Customer_Churn
4G,Vi,West Bengal,-91.88,2,3 Months Plan,23,49.883690924828144,1
5G,Vi,Rajasthan,-101.23,6,3 Months Plan,41,62.63593919561736,0
4G,Vi,Delhi,-91.33,1,Yearly Plan,12,45.28968257761253,1
4G,Vi,Kerala,-104.99,5,3 Months Plan,19,72.25595923697462,1
4G,Vi,West Bengal,-120.0,1,Yearly Plan,7,94.16230014277596,1
5G,Vi,Delhi,-79.05,8,Monthly Plan,29,21.24904023671225,0
5G,Vi,Kerala,-78.08,1,Monthly Plan,8,19.188927140105907,1
4G,Vi,Kerala,-99.91,1,Yearly Plan,15,60.23084172479104,1
4G,Vi,Gujarat,-104.65,1,3 Months Plan,3,70.70795024623315,1
4G,Vi,Gujarat,-81.21,4,Monthly Plan,14,28.879495463130368,1
5G,Vi,Tamil Nadu,-86.73,11,Yearly Plan,17,35.67640710425501,0
5G,Vi,West Bengal,-94.03,6,Monthly Plan,59,48.43667568651289,0
4G,Vi,Maharashtra,-99.99,2,Yearly Plan,15,59.16434040024423,1
5G,Vi,West Bengal,-79.18,2,3 Months Plan,14,21.540730962151105,1
4G,Vi,Gujarat,-82.81,9,Yearly Plan,44,31.34035952462229,0
4G,Vi,Maharashtra,-95.97,1,Monthly Plan,15,53.85754018360069,1
5G,Vi,Karnataka,-101.51,2,Yearly Plan,21,62.82446857867672,1
4G,Vi,Kerala,-96.28,8,Yearly Plan,29,55.59158069166203,0
5G,Vi,Gujarat,-74.45,4,Yearly Plan,48,14.49672222709277,0
4G,Vi,Karnataka,-105.23,0,Monthly Plan,11,71.24654722365523,1
4G,Vi,Gujarat,-120.0,4,Yearly Plan,13,96.64185814902136,0
5G,Vi,Delhi,-82.98,1,Yearly Plan,3,29.701030476560224,1
4G,Vi,Rajasthan,-96.26,0,Monthly Plan,1,55.259647898658514,1
5G,Vi,Tamil Nadu,-118.55,8,Monthly Plan,50,92.40095434835688,0
5G,Vi,Rajasthan,-96.09,5,3 Months Plan,24,53.70445220241351,1
4G,Vi,Kerala,-114.54,1,3 Months Plan,46,86.61698951727841,0
5G,Vi,Gujarat,-80.29,12,3 Months Plan,68,23.496096303845498,0
5G,Vi,Karnataka,-95.71,1,Monthly Plan,3,52.42896841554121,1
5G,Vi,West Bengal,-108.95,2,Monthly Plan,5,75.21524209697075,1
4G,Vi,Maharashtra,-93.25,1,Yearly Plan,23,49.25484586155658,1
4G,Vi,West Bengal,-97.04,11,3 Months Plan,40,55.99534486609223,0
5G,Vi,Tamil Nadu,-86.12,3,Yearly Plan,47,36.450648862773846,0
5G,Vi,Maharashtra,-92.15,1,Yearly Plan,64,48.23329273334803,0
5G,Vi,Uttar Pradesh,-87.15,4,Yearly Plan,19,34.17716979517693,0
4G,Vi,Gujarat,-120.0,5,Yearly Plan,10,95.36823214664724,1
4G,Vi,Telangana,-109.59,4,Monthly Plan,32,75.86526808008318,0
5G,Vi,Maharashtra,-77.29,8,Yearly Plan,39,17.558904091932153,0
